codprod,codmarca,codepto,codsec
13750,26,2,10043
13769,3,1,10040
913769,3,1,10040
13961,39,10003,10014
14459,13,1,10041
14714,1,1,10040
13745,28,1,10040
13751,39,10002,10038
13795,52,1,10040
13796,52,1,10040
13797,52,1,10040
13798,52,1,10040
14048,18,10011,10047
14049,18,3,10046
14221,13,1,10041
14630,39,10002,10035
14631,39,10002,10035
14632,39,10002,10035
14633,39,10002,10035
14862,39,10002,10033
13582,10,3,10046
13615,39,10003,10014
13616,39,10003,10014
13617,39,10003,10014
13824,39,10002,10034
14040,39,10002,10034
14120,70,10012,10049
14379,39,10002,10031
912825,1,1,10040
13640,39,2,10043
13799,52,1,10041
13800,52,1,10041
13801,52,1,10041
13802,52,1,10041
14050,12,3,10046
14634,39,10002,10035
14635,39,10002,10035
14636,39,10002,10035
14637,39,10002,10035
14863,39,10002,10033
13584,39,10002,10033
13585,39,10002,10033
13586,39,10002,10038
13587,39,10002,10033
14064,39,10002,10033
14065,39,10002,10033
14380,39,10002,10031
14331,27,1,10041
14332,27,1,10040
14333,27,1,10040
14334,27,1,10040
14479,13,1,10042
14647,26,1,10040
14702,14,2,10043
14772,1,1,10040
914772,1,1,10040
14381,52,1,10040
14382,52,1,10040
14383,52,1,10040
14384,52,1,10040
14530,52,1,10040
14804,91,10010,10028
14805,91,10010,10028
14793,1,1,10041
14794,1,1,10041
914795,1,1,10041
14385,52,1,10040
14386,52,1,10040
14387,52,1,10040
14388,52,1,10041
14389,52,1,10040
14390,52,1,10040
14753,39,10002,10033
14810,39,10002,10031
14784,39,10010,10028
14785,88,1,10041
14295,1,1,10040
14391,52,1,10040
14392,52,1,10040
14396,39,10002,10032
14400,52,1,10042
14401,52,1,10041
14779,26,1,10040
14843,97,10002,10036
14402,52,1,10041
14405,39,10010,10028
14406,39,10002,10033
14407,39,10002,10033
14408,52,1,10040
14303,13,1,10041
14410,39,10002,10034
14411,39,10002,10034
14480,14,1,10041
14481,13,1,10040
14482,13,1,10041
14455,13,1,10041
14844,98,10010,10028
14933,39,10010,10028
14231,39,10002,10033
14439,81,1,10040
14470,81,1,10040
14449,14,1,10042
14478,60,1,10041
14461,13,1,10040
14728,86,1,10040
14403,39,10010,10028
14404,52,1,10042
14460,60,1,10041
14475,13,1,10041
14441,13,1,10040
14562,47,10002,10034
14901,95,1,10042
14641,89,1,10041
14499,52,1,10041
14498,39,10002,10018
14505,39,10006,10011
