3/02/2017;11455;103;RN;912462;1;10040;1;59;2;151;123.9335
4/02/2017;1866;103;PE;7704;2;10043;1;1;6;1300;1078.770507
4/02/2017;8079;103;CE;7620;2;10043;1;33;2;1180;885.748906
4/02/2017;8079;103;CE;13056;10006;10011;77;33;2;89;61.575598
4/02/2017;8079;103;CE;13125;10006;10013;84;33;2;40;18.710065
4/02/2017;14387;103;AL;7790;2;10043;1;15;1;700;535.683234
6/02/2017;33205;103;RN;7704;2;10043;1;127;2;1390;1067.665848
6/02/2017;5780;103;AL;912460;1;10042;1;141;2;350;226.121719
6/02/2017;8079;103;CE;12671;2;10043;1;33;4;1465;1130.0825
6/02/2017;8537;103;PI;7559;2;10043;1;28;4;1480;1126.902943
6/02/2017;16597;103;PI;7704;2;10043;1;28;2;1396;1086.001378
6/02/2017;1866;103;PE;596;2;10043;1;1;6;1380;1177.402987
6/02/2017;14387;103;AL;97801;1;10040;1;15;2;205;166.436889
7/02/2017;3600;103;PE;7704;2;10043;1;6;8;1354;1079.229507
7/02/2017;14476;103;SE;7704;2;10043;1;108;2;1440;1079.719461
7/02/2017;14476;103;SE;12272;1;10042;3;108;2;516;341.073441
7/02/2017;14476;103;SE;12820;1;10041;3;108;2;640;299.775972
7/02/2017;3383;103;AL;13971;2;10043;14;141;2;1350;1142.875
8/02/2017;23329;103;MA;7704;2;10043;1;174;6;1300;1078.765842
8/02/2017;233;103;PE;7559;2;10043;1;5;6;1350;1111.209783
8/02/2017;233;103;PE;3992;2;10043;1;5;4;1240;976.351836
8/02/2017;38690;103;MA;912086;1;10041;1;174;4;551;461.785555
8/02/2017;2013;103;AL;912221;1;10042;3;31;4;390;278.23231
8/02/2017;16597;103;PI;7620;2;10043;1;28;2;1150;881.976643
8/02/2017;3565;103;AL;13911;2;10043;13;141;4;760;631.75845
8/02/2017;27952;103;SE;7704;2;10043;1;108;2;1440;1079.719461
8/02/2017;4414;103;AL;912482;1;10040;1;14;20;245;177.5225
9/02/2017;11338;103;SE;12672;2;10043;1;108;12;1535;1264.797023
9/02/2017;11338;103;SE;7559;2;10043;1;108;8;1370;1111.383042
9/02/2017;3251;103;AL;12672;2;10043;1;15;2;1550;1264.781105
